"series","date","issue","url","volume","value","is_clean"
"kentucky_6pct","1856-02-01","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,100,0
"louisiana_6pct","1856-02-01","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,87,0
"missouri_6pct","1856-02-01","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,85.5,0
"north_carolina_6pct","1856-02-01","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,96,0
"ohio_6pct_1874","1856-02-01","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,110,0
"pennsylvania_6pct","1856-02-01","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,83.25,0
"US_6pct_1868","1856-02-01","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,116.5,0
"virginia_6pct","1856-02-01","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,94,0
"california_7pct_1870","1856-02-08","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,85,0
"georgia_6pct","1856-02-08","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,99,0
"indiana_5pct","1856-02-08","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,82.25,0
"kentucky_6pct","1856-02-08","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,100.5,0
"louisiana_6pct","1856-02-08","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,88,0
"missouri_6pct","1856-02-08","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,85,0
"north_carolina_6pct","1856-02-08","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,98.5,0
"ohio_6pct_1874","1856-02-08","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,110,0
"pennsylvania_6pct","1856-02-08","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,86,0
"US_6pct_1868","1856-02-08","1856-02-23","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA750",10,116.5,0
